hour;minute;second;event;total
16;17;38;EventSent;308
16;17;39;EventSent;2323
16;17;40;EventSent;7
16;17;39;EventSent;1
16;17;40;EventSent;2
16;17;39;EventSent;1
16;17;40;EventSent;2
16;17;39;EventSent;1
16;17;40;EventSent;2
16;17;39;EventSent;3
16;17;40;EventSent;7
16;17;39;EventSent;3
16;17;40;EventSent;2
16;17;39;EventSent;2
16;17;40;EventSent;1
16;17;39;EventSent;1
16;17;40;EventSent;2719
16;17;41;EventSent;21
16;17;40;EventSent;1
16;17;41;EventSent;1
16;17;40;EventSent;2
16;17;41;EventSent;43
16;17;40;EventSent;1
16;17;41;EventSent;3
16;17;40;EventSent;1
16;17;41;EventSent;1
16;17;40;EventSent;1
16;17;41;EventSent;2309
16;17;42;EventSent;2
16;17;41;EventSent;4
16;17;42;EventSent;1
16;17;41;EventSent;8
16;17;42;EventSent;26
16;17;41;EventSent;2
16;17;42;EventSent;2346
16;17;43;EventSent;4
16;17;42;EventSent;5
16;17;43;EventSent;1
16;17;42;EventSent;4
16;17;43;EventSent;33
16;17;42;EventSent;2
16;17;43;EventSent;1
16;17;42;EventSent;5
16;17;43;EventSent;16
16;17;42;EventSent;1
16;17;43;EventSent;2931
16;17;44;EventSent;3583
16;17;45;EventSent;16
16;17;44;EventSent;4
16;17;45;EventSent;2
16;17;44;EventSent;1
16;17;45;EventSent;7
16;17;44;EventSent;4
16;17;45;EventSent;3155
16;17;46;EventSent;3224
16;17;47;EventSent;15
16;17;46;EventSent;2
16;17;47;EventSent;2
16;17;46;EventSent;1
16;17;47;EventSent;16
16;17;46;EventSent;2
16;17;47;EventSent;3681
16;17;48;EventSent;40
16;17;47;EventSent;2
16;17;48;EventSent;1
16;17;47;EventSent;2
16;17;48;EventSent;19
16;17;47;EventSent;4
16;17;48;EventSent;3320
16;17;49;EventSent;6
16;17;48;EventSent;2
16;17;49;EventSent;1
16;17;48;EventSent;2
16;17;49;EventSent;4008
16;17;50;EventSent;3
16;17;49;EventSent;2
16;17;50;EventSent;2
16;17;49;EventSent;1
16;17;50;EventSent;2792
16;17;51;EventSent;12
16;17;50;EventSent;3
16;17;51;EventSent;4
16;17;50;EventSent;1
16;17;51;EventSent;4
16;17;50;EventSent;1
16;17;51;EventSent;5
16;17;50;EventSent;1
16;17;51;EventSent;3266
16;17;52;EventSent;3198
16;17;53;EventSent;1
16;17;52;EventSent;18
16;17;53;EventSent;3233
16;17;54;EventSent;9
16;17;53;EventSent;9
16;17;54;EventSent;1
16;17;53;EventSent;1
16;17;54;EventSent;1
16;17;53;EventSent;1
16;17;54;EventSent;3
16;17;53;EventSent;1
16;17;54;EventSent;11
16;17;53;EventSent;1
16;17;54;EventSent;2994
16;17;55;EventSent;11
16;17;54;EventSent;10
16;17;55;EventSent;95
16;17;54;EventSent;3
16;17;55;EventSent;3041
16;17;56;EventSent;3191
16;17;57;EventSent;1
16;17;56;EventSent;1
16;17;57;EventSent;16
16;17;56;EventSent;1
16;17;57;EventSent;2735
